round,shuffle_role,period_length,num_subperiods,pure_strategy,show_at_worst,show_best_response,rate_limit,mean_matching,payoff1Aa,payoff1Ab,payoff1Ba,payoff1Bb,payoff2Aa,payoff2Ab,payoff2Ba,payoff2Bb
1,TRUE,90,15,TRUE,FALSE,FALSE,4,FALSE,800,0,0,200,0,200,200,0
2,FALSE,90,15,TRUE,FALSE,FALSE,4,FALSE,800,0,0,200,0,200,200,0
3,FALSE,90,15,TRUE,FALSE,FALSE,4,FALSE,800,0,0,200,0,200,200,0
4,FALSE,90,15,TRUE,FALSE,FALSE,4,FALSE,800,0,0,200,0,200,200,0
5,FALSE,90,15,TRUE,FALSE,FALSE,4,FALSE,800,0,0,200,0,200,200,0
6,FALSE,90,15,TRUE,FALSE,FALSE,4,FALSE,800,0,0,200,0,200,200,0
7,FALSE,90,15,TRUE,FALSE,FALSE,4,FALSE,300,100,100,700,100,300,200,100
8,FALSE,90,15,TRUE,FALSE,FALSE,4,FALSE,300,100,100,700,100,300,200,100
9,FALSE,90,15,TRUE,FALSE,FALSE,4,FALSE,300,100,100,700,100,300,200,100
10,FALSE,90,15,TRUE,FALSE,FALSE,4,FALSE,300,100,100,700,100,300,200,100
11,FALSE,90,15,TRUE,FALSE,FALSE,4,FALSE,300,100,100,700,100,300,200,100
12,FALSE,90,15,TRUE,FALSE,FALSE,4,FALSE,300,100,100,700,100,300,200,100
13,FALSE,90,15,TRUE,FALSE,FALSE,4,FALSE,200,0,400,200,500,600,300,100
14,FALSE,90,15,TRUE,FALSE,FALSE,4,FALSE,200,0,400,200,500,600,300,100
15,FALSE,90,15,TRUE,FALSE,FALSE,4,FALSE,200,0,400,200,500,600,300,100
16,TRUE,90,15,TRUE,FALSE,FALSE,4,FALSE,200,0,400,200,500,600,300,100
17,FALSE,90,15,TRUE,FALSE,FALSE,4,FALSE,200,0,400,200,500,600,300,100
18,FALSE,90,15,TRUE,FALSE,FALSE,4,FALSE,200,0,400,200,500,600,300,100
19,FALSE,90,15,TRUE,FALSE,FALSE,4,FALSE,800,0,0,200,0,200,200,0
20,FALSE,90,15,TRUE,FALSE,FALSE,4,FALSE,800,0,0,200,0,200,200,0
21,FALSE,90,15,TRUE,FALSE,FALSE,4,FALSE,800,0,0,200,0,200,200,0
22,FALSE,90,15,TRUE,FALSE,FALSE,4,FALSE,800,0,0,200,0,200,200,0
23,FALSE,90,15,TRUE,FALSE,FALSE,4,FALSE,800,0,0,200,0,200,200,0
24,FALSE,90,15,TRUE,FALSE,FALSE,4,FALSE,800,0,0,200,0,200,200,0
25,FALSE,90,15,TRUE,FALSE,FALSE,4,FALSE,300,100,100,700,100,300,200,100
26,FALSE,90,15,TRUE,FALSE,FALSE,4,FALSE,300,100,100,700,100,300,200,100
27,FALSE,90,15,TRUE,FALSE,FALSE,4,FALSE,300,100,100,700,100,300,200,100
28,FALSE,90,15,TRUE,FALSE,FALSE,4,FALSE,300,100,100,700,100,300,200,100
29,FALSE,90,15,TRUE,FALSE,FALSE,4,FALSE,300,100,100,700,100,300,200,100
30,FALSE,90,15,TRUE,FALSE,FALSE,4,FALSE,300,100,100,700,100,300,200,100
