round,shuffle_role,period_length,num_subperiods,pure_strategy,show_at_worst,show_best_response,rate_limit,payoff1Aa,payoff1Ab,payoff1Ba,payoff1Bb,payoff2Aa,payoff2Ab,payoff2Ba,payoff2Bb
1,TRUE,90,15,TRUE,FALSE,FALSE,4,200,0,400,200,500,600,300,100
2,FALSE,90,15,FALSE,TRUE,FALSE,4,200,0,400,200,500,600,300,100
3,FALSE,90,15,FALSE,TRUE,FALSE,4,800,0,0,200,0,200,200,0
4,FALSE,90,15,FALSE,TRUE,FALSE,4,800,0,0,200,0,200,200,0
5,FALSE,90,15,TRUE,FALSE,FALSE,4,300,100,100,700,100,300,200,100
6,FALSE,90,15,FALSE,TRUE,FALSE,4,300,100,100,700,100,300,200,100
7,FALSE,90,15,FALSE,TRUE,FALSE,4,800,0,0,200,0,200,200,0
8,FALSE,90,15,FALSE,TRUE,FALSE,4,800,0,0,200,0,200,200,0
9,FALSE,90,0,TRUE,FALSE,FALSE,4,200,0,400,200,500,600,300,100
10,FALSE,90,0,TRUE,FALSE,FALSE,4,800,0,0,200,0,200,200,0
11,FALSE,90,0,FALSE,FALSE,TRUE,4,800,0,0,200,0,200,200,0
12,FALSE,90,0,FALSE,FALSE,TRUE,4,800,0,0,200,0,200,200,0
13,FALSE,90,0,FALSE,FALSE,TRUE,4,300,100,100,700,100,300,200,100
14,FALSE,90,0,FALSE,FALSE,TRUE,4,300,100,100,700,100,300,200,100
15,FALSE,90,0,FALSE,FALSE,TRUE,2,200,0,400,200,500,600,300,100
16,FALSE,90,0,FALSE,FALSE,TRUE,2,200,0,400,200,500,600,300,100
17,TRUE,90,0,FALSE,TRUE,TRUE,2,800,0,0,200,0,200,200,0
18,FALSE,90,0,FALSE,TRUE,TRUE,2,800,0,0,200,0,200,200,0
19,FALSE,90,0,FALSE,TRUE,TRUE,2,800,0,0,200,0,200,200,0
20,FALSE,90,0,FALSE,TRUE,TRUE,2,300,100,100,700,100,300,200,100
21,FALSE,90,0,FALSE,TRUE,TRUE,2,300,100,100,700,100,300,200,100
22,FALSE,90,0,FALSE,TRUE,TRUE,2,300,100,100,700,100,300,200,100
23,FALSE,90,0,TRUE,FALSE,FALSE,2,300,100,100,700,100,300,200,100
24,FALSE,90,0,TRUE,FALSE,FALSE,2,800,0,0,200,0,200,200,0
25,FALSE,90,15,FALSE,TRUE,TRUE,2,300,100,100,700,100,300,200,100
26,FALSE,90,15,FALSE,TRUE,TRUE,2,200,0,400,200,500,600,300,100
27,FALSE,90,15,FALSE,TRUE,TRUE,2,300,100,100,700,100,300,200,100
28,FALSE,90,15,TRUE,FALSE,FALSE,2,800,0,0,200,0,200,200,0
24,FALSE,90,15,FALSE,TRUE,TRUE,0,800,0,0,200,0,200,200,0
30,FALSE,90,15,FALSE,TRUE,TRUE,0,300,100,100,700,100,300,200,100
31,FALSE,90,15,FALSE,TRUE,TRUE,0,300,100,100,700,100,300,200,100
32,FALSE,90,15,TRUE,FALSE,FALSE,0,800,0,0,200,0,200,200,0
